SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE
MLS Listing,,Condo/Co-op,1432 Race St #102,Cincinnati,OH,45202,289900,1,1,City,870,13595
MLS Listing,,Condo/Co-op,1213 Vine St Unit C,Cincinnati,OH,45202,249900,1,1,City,699,14414
MLS Listing,,Condo/Co-op,1421 Race St #5,Cincinnati,OH,45202,355000,2,1.5,City,945,
MLS Listing,,Condo/Co-op,15 W Fourth St #411,Cincinnati,OH,45202,379900,2,2,City,1326,
MLS Listing,,Condo/Co-op,1 Mercer St #204,Cincinnati,OH,45202,550000,2,2,City,1164,6843
MLS Listing,,Multi-Family (2-4 Unit),1622 Pleasant St,Cincinnati,OH,45202,675000,5,3,City,2644,1873
MLS Listing,,Single Family Residential,1215 Main St,Cincinnati,OH,45202,625000,0,2,City,,
MLS Listing,,Condo/Co-op,15 W Fourth St #414,Cincinnati,OH,45202,425000,2,2,City,1425,29630
MLS Listing,,Condo/Co-op,18 W Thirteenth St #5,Cincinnati,OH,45202,305000,2,2,City,1156,
MLS Listing,,Condo/Co-op,417 Vine St #204,Cincinnati,OH,45202,239000,1,1,City,715,7479
MLS Listing,,Condo/Co-op,417 Vine St #504,Cincinnati,OH,45202,245000,1,1,City,789,7479
MLS Listing,,Condo/Co-op,20 W Twelfth St #401,Cincinnati,OH,45202,189000,1,1,City,623,8925
MLS Listing,,Condo/Co-op,26 E Sixth St #502,Cincinnati,OH,45202,309000,1,1.5,City,945,8503
MLS Listing,,Single Family Residential,219 Wade St,Cincinnati,OH,45202,1058000,4,4,City,3529,2309
MLS Listing,,Condo/Co-op,1418 Race St #1,Cincinnati,OH,45202,375000,2,1.5,City,1207,7989
MLS Listing,,Single Family Residential,2017 Elm St,Cincinnati,OH,45202,774900,5,2.5,City,3236,2483
MLS Listing,,Condo/Co-op,33 E Court St #305,Cincinnati,OH,45202,249000,1,1,City,560,
MLS Listing,,Condo/Co-op,1432 Race St #301,Cincinnati,OH,45202,259900,1,1,City,776,13595
MLS Listing,,Condo/Co-op,1510 Race St #7,Cincinnati,OH,45202,500000,2,1.5,City,,
MLS Listing,,Condo/Co-op,1510 Race St #4,Cincinnati,OH,45202,325000,1,1,City,,
MLS Listing,,Condo/Co-op,1510 Race St #6,Cincinnati,OH,45202,425000,2,1.5,City,,
MLS Listing,,Condo/Co-op,1510 Race St #5,Cincinnati,OH,45202,350000,1,1,City,,
MLS Listing,,Condo/Co-op,30 E Central Pkwy #1101,Cincinnati,OH,45202,480000,3,2,City,1595,12345
MLS Listing,,Condo/Co-op,104 W Ninth St Unit 2C,Cincinnati,OH,45202,300000,2,1.5,City,1186,4522
MLS Listing,,Condo/Co-op,1150 Vine St #15,Cincinnati,OH,45202,297000,1,1,City,,14876
MLS Listing,,Condo/Co-op,1415 Vine St #403,Cincinnati,OH,45202,250000,1,1,City,826,18069
MLS Listing,,Condo/Co-op,26 W Fifteenth St Unit 3F,Cincinnati,OH,45202,299900,1,1,City,665,7606
MLS Listing,,Condo/Co-op,1150 Vine St #24,Cincinnati,OH,45202,249900,1,1,City,757,14876
MLS Listing,,Condo/Co-op,621 Main St Unit 5A,Cincinnati,OH,45202,449000,2,2,City,1552,
MLS Listing,,Single Family Residential,1120 Race St,Cincinnati,OH,45202,1075000,3,3.5,City,2484,1647
MLS Listing,,Single Family Residential,1414 Pleasant St,Cincinnati,OH,45202,725000,3,2.5,City,1886,1612
MLS Listing,,Multi-Family (2-4 Unit),6 W Mcmicken Ave,Cincinnati,OH,45202,249900,8,,City,4600,1263
MLS Listing,,Condo/Co-op,28 W Central Pkwy #3,Cincinnati,OH,45202,1500000,2,3.5,City,,8250
MLS Listing,,Condo/Co-op,23 Mercer St #1,Cincinnati,OH,45202,274900,1,1,City,790,5976
MLS Listing,,Condo/Co-op,26 E Sixth St #503,Cincinnati,OH,45202,297500,1,1.5,City,1015,
MLS Listing,,Condo/Co-op,1306 Main St #3,Cincinnati,OH,45202,359900,1,1.5,City,1344,
MLS Listing,,Multi-Family (2-4 Unit),1826 Logan St,Cincinnati,OH,45202,500000,6,3,City,3132,1786
MLS Listing,,Vacant Land,217 Findlay St,Cincinnati,OH,45202,75000,,,City,,1742
MLS Listing,,Multi-Family (5+ Unit),219 Findlay St,Cincinnati,OH,45202,315000,6,,City,4214,1742
MLS Listing,,Condo/Co-op,1202 Main St #6,Cincinnati,OH,45202,185000,1,1,City,583,3899
MLS Listing,,Condo/Co-op,33 E Court St #302,Cincinnati,OH,45202,349000,2,2,City,969,5092
MLS Listing,,Condo/Co-op,5 W Twelfth St #4,Cincinnati,OH,45202,250000,1,1,City,468,5436
MLS Listing,,Vacant Land,1517 Republic St,Cincinnati,OH,45202,174900,,,City,,1350
MLS Listing,,Condo/Co-op,1500 Race St #2,Cincinnati,OH,45202,575000,0,0.5,City,4124,1786
MLS Listing,,Condo/Co-op,1514 Race St #1,Cincinnati,OH,45202,750000,2,2.5,City,1430,
MLS Listing,,Condo/Co-op,1514 Race St #2,Cincinnati,OH,45202,750000,2,2.5,City,1454,
MLS Listing,,Condo/Co-op,1514 Race St #3,Cincinnati,OH,45202,1400000,3,3.5,City,2285,
MLS Listing,,Vacant Land,1518 Race St,Cincinnati,OH,45202,699673,,,City,,4617
MLS Listing,,Condo/Co-op,5 W Twelfth St #3,Cincinnati,OH,45202,252000,1,1,City,558,5441
MLS Listing,,Multi-Family (5+ Unit),8 W Fourth St,Cincinnati,OH,45202,859000,0,,City,,
MLS Listing,,Condo/Co-op,1501 Vine St #303,Cincinnati,OH,45202,229900,1,1,City,645,3437
MLS Listing,,Vacant Land,0 Millston,Aberdeen,OH,45202,150000,,,City,,252648
MLS Listing,,Single Family Residential,212 W Fifteenth St,Cincinnati,OH,45202,1252642,7,6,City,,1899