SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE
PAST SALE,March-9-2023,Condo/Co-op,1213 Vine St Unit F,Cincinnati,OH,45202,185000,1,1,588,14414
PAST SALE,November-30-2021,Single Family Residential,1120 W Main St,Loveland,OH,45202,179900,2,1,925,6752
PAST SALE,,Condo/Co-op,30 East Central Pkwy #802,Cincinnati,OH,45202,420000,2,2,1227,
PAST SALE,March-15-2023,Condo/Co-op,1202 Main St #9,Cincinnati,OH,45202,191000,1,1,573,169840440
PAST SALE,,Multi-Family (5+ Unit),1121 Walnut St,Cincinnati,OH,45202,800000,,,,1568
PAST SALE,March-20-2023,Condo/Co-op,1206 Main St #3,Cincinnati,OH,45202,320000,1,1,1332,2043
PAST SALE,,Condo/Co-op,1307 Republic St #1,Cincinnati,OH,45202,290000,,1.5,1167,
PAST SALE,October-7-2021,Condo/Co-op,1420 Elm St Unit 1A,Cincinnati,OH,45202,270000,1,1.5,636,
PAST SALE,November-27-2019,Condo/Co-op,1800 Race St #1802,Cincinnati,OH,45202,275000,1,1,,
PAST SALE,,Condo/Co-op,20 W 12th St Unit 203A,Cincinnati,OH,45202,295000,1,1,1176,
PAST SALE,,Other,130 Findlay St,Cincinnati,OH,45202,100000,,,,2526
PAST SALE,September-7-2023,Condo/Co-op,33 E Court St,Cincinnati,OH,45202,375000,2,2,998,1263
PAST SALE,,Condo/Co-op,19 W Court St #4,Cincinnati,OH,45202,312500,1,1,1654,
PAST SALE,March-31-2022,Condo/Co-op,15 W Fifteenth St Unit B3,Cincinnati,OH,45202,270000,2,1.5,,
PAST SALE,,Condo/Co-op,15 E Court St #3,Cincinnati,OH,45202,245000,1,1,981,
PAST SALE,,Condo/Co-op,18 E 4th St #801,Cincinnati,OH,45202,397500,2,2,1929,
PAST SALE,,Condo/Co-op,621 Main St Unit 5B,Cincinnati,OH,45202,463500,2,2.5,1631,
PAST SALE,,Multi-Family (5+ Unit),18 E 13th St,Cincinnati,OH,45202,350000,,,,1525
PAST SALE,,Condo/Co-op,1150 Vine St #42,Cincinnati,OH,45202,307000,2,1,1010,
PAST SALE,November-2-2023,Condo/Co-op,104 W 9th St Unit 4C,Cincinnati,OH,45202,275000,2,1.5,1186,4522
PAST SALE,,Condo/Co-op,111 E 13th St #2,Cincinnati,OH,45202,160000,1,1,710,
PAST SALE,April-3-2023,Condo/Co-op,33 E Court St #304,Cincinnati,OH,45202,393000,2,2,,5091
PAST SALE,,Condo/Co-op,1220 Vine St #11,Cincinnati,OH,45202,437000,1,1,1416,
PAST SALE,March-24-2023,Condo/Co-op,33 E Court St #205,Cincinnati,OH,45202,220000,1,1,529,5091
PAST SALE,,Condo/Co-op,26 E 6th St #803,Cincinnati,OH,45202,675000,2,2,2288,
PAST SALE,,Single Family Residential,1437 Pleasant St,Cincinnati,OH,45202,585000,3,2.5,1866,1664
PAST SALE,,Multi-Family (5+ Unit),3 W McMicken Ave,Cincinnati,OH,45202,165000,,,,2396
PAST SALE,,Condo/Co-op,24 W 15th St,Cincinnati,OH,45202,265000,,1,653,
PAST SALE,,Multi-Family (5+ Unit),1525 Republic St,Cincinnati,OH,45202,245000,,,,1525
PAST SALE,,Multi-Family (2-4 Unit),1415 Race St,Cincinnati,OH,45202,490000,3,2.5,3553,1307
PAST SALE,September-29-2021,Condo/Co-op,1501 Vine St #204,Cincinnati,OH,45202,235000,1,1,703,
PAST SALE,September-29-2023,Condo/Co-op,1326 Vine St #1,Cincinnati,OH,45202,275900,1,1,,15686
PAST SALE,October-23-2023,Condo/Co-op,1421 Race St #2,Cincinnati,OH,45202,275000,1,1,808,
PAST SALE,October-31-2019,Condo/Co-op,116 W Fifteenth St #303,Cincinnati,OH,45202,274000,1,1,721,
PAST SALE,February-17-2023,Single Family Residential,1504 Race St,Cincinnati,OH,45202,605000,2,2.5,1990,1176
PAST SALE,October-17-2023,Condo/Co-op,1150 Vine St #34,Cincinnati,OH,45202,335000,1,2,1254,
PAST SALE,August-4-2023,Condo/Co-op,1326 Vine St #14,Cincinnati,OH,45202,450000,2,2,1339,15686
PAST SALE,May-5-2023,Condo/Co-op,1421 Race St #3,Cincinnati,OH,45202,287000,2,1,950,260140320
PAST SALE,December-29-2023,Condo/Co-op,1328 Republic St #101,Cincinnati,OH,45202,392500,2,2,1100,2879
PAST SALE,April-26-2023,Condo/Co-op,724 Main St #5,Cincinnati,OH,45202,280000,2,1.5,1417,5968
PAST SALE,May-4-2023,Condo/Co-op,14 W Fourteenth St #503,Cincinnati,OH,45202,259000,1,1,578,2631
PAST SALE,October-6-2023,Condo/Co-op,1307 Republic St #3,Cincinnati,OH,45202,395000,2,1.5,1218,
PAST SALE,March-15-2024,Condo/Co-op,1 Mercer St #402,Cincinnati,OH,45202,525000,2,2,1107,
PAST SALE,March-10-2023,Condo/Co-op,1124 Race St Unit 101B,Cincinnati,OH,45202,230000,1,1,749,6599
PAST SALE,October-4-2023,Condo/Co-op,104 W 9th St Unit 3C,Cincinnati,OH,45202,269000,2,1.5,1186,4522
PAST SALE,June-9-2023,Condo/Co-op,1126 Walnut St Unit 4A,Cincinnati,OH,45202,245000,2,1,905,2418
PAST SALE,May-10-2023,Condo/Co-op,1126 Walnut Ave Unit 4B,Cincinnati,OH,45202,184900,1,1,871,2418
PAST SALE,August-17-2023,Condo/Co-op,633 Main St,Cincinnati,OH,45202,293000,1,1,1216,1904
PAST SALE,February-28-2023,Condo/Co-op,1326 Vine St #4,Cincinnati,OH,45202,299000,2,1,895,15686
PAST SALE,September-22-2023,Condo/Co-op,1150 Vine St #38,Cincinnati,OH,45202,279000,2,2,932,
PAST SALE,November-22-2023,Condo/Co-op,1150 Vine St #33,Cincinnati,OH,45202,199900,1,1,770,
PAST SALE,April-27-2023,Condo/Co-op,1523 Republic St #201,Cincinnati,OH,45202,297500,2,1,886,2522
PAST SALE,March-21-2022,Condo/Co-op,915 Vine St #203,Cincinnati,OH,45202,219000,1,1,,
PAST SALE,June-29-2023,Condo/Co-op,1207 Republic St Unit 101B,Cincinnati,OH,45202,180650,1,1,625,8925
PAST SALE,March-9-2023,Condo/Co-op,1150 Vine St #39,Cincinnati,OH,45202,240000,1,1,869,14876
PAST SALE,February-28-2023,Condo/Co-op,15 W Fourth St,Cincinnati,OH,45202,310900,2,2,1158,29631
PAST SALE,July-5-2023,Condo/Co-op,27 Mercer St #2,Cincinnati,OH,45202,390000,2,2,1137,5976
PAST SALE,January-5-2024,Condo/Co-op,4 W 14th St #202,Cincinnati,OH,45202,292000,1,1,1042,18068
PAST SALE,August-31-2023,Single Family Residential,10 Mercer St,Cincinnati,OH,45202,700000,3,2.5,2060,1089
PAST SALE,May-8-2023,Condo/Co-op,417 Vine St #601,Cincinnati,OH,45202,475000,3,2,1618,7479
PAST SALE,March-28-2024,Condo/Co-op,1415 Vine St #301,Cincinnati,OH,45202,181000,1,1,564,
PAST SALE,February-15-2024,Condo/Co-op,104 W Ninth St Unit 6A,Cincinnati,OH,45202,300000,2,1.5,1186,
PAST SALE,July-7-2023,Condo/Co-op,15 W 4th St #301,Cincinnati,OH,45202,324900,2,2,1158,29634
PAST SALE,April-7-2023,Condo/Co-op,33 E Court St #403,Cincinnati,OH,45202,272000,1,1,665,5091
PAST SALE,March-2-2023,Condo/Co-op,33 E Court St #405,Cincinnati,OH,45202,240000,1,1,560,5091
PAST SALE,January-31-2024,Condo/Co-op,1432 Race St #210,Cincinnati,OH,45202,269000,1,1,1062,13599
PAST SALE,August-28-2023,Condo/Co-op,112 E Thirteenth,Cincinnati,OH,45202,230000,1,1.5,1004,4177
PAST SALE,May-1-2023,Condo/Co-op,1 Mercer St #302,Cincinnati,OH,45202,480000,2,2,1007,6843
PAST SALE,April-21-2023,Condo/Co-op,15 W 4th St #302,Cincinnati,OH,45202,325000,2,2,1288,29631
PAST SALE,August-4-2023,Condo/Co-op,1508 Race St Unit 1R,Cincinnati,OH,45202,450000,2,2.5,1334,7606
PAST SALE,,Condo/Co-op,1428 Republic St #2,Cincinnati,OH,45202,629000,,2.5,2220,
PAST SALE,May-31-2022,Condo/Co-op,1415 Vine St #205,Cincinnati,OH,45202,245000,1,1,976,18070
PAST SALE,February-21-2024,Condo/Co-op,1406 Republic St #301,Cincinnati,OH,45202,162000,1,1,493,
PAST SALE,June-6-2023,Condo/Co-op,1523 Republic St #302,Cincinnati,OH,45202,265000,1,1,,2522
PAST SALE,March-9-2020,Condo/Co-op,104 W Ninth St Unit 2A,Cincinnati,OH,45202,210000,1,1,938,4522
PAST SALE,May-4-2023,Condo/Co-op,1406 Republic St #102,Cincinnati,OH,45202,219900,1,1,874,4556
PAST SALE,,Condo/Co-op,11 E Court St #202,Cincinnati,OH,45202,290000,,1,648,
PAST SALE,May-15-2023,Condo/Co-op,1432 Race St #309,Cincinnati,OH,45202,180000,1,1,590,13595
PAST SALE,April-21-2023,Condo/Co-op,1420 Elm St Unit 3B,Cincinnati,OH,45202,324600,1,1.5,817,5011
PAST SALE,February-28-2020,Condo/Co-op,116 W Fifteenth St #206,Cincinnati,OH,45202,285000,1,1,743,
PAST SALE,March-17-2022,Condo/Co-op,11 E Court St #303,Cincinnati,OH,45202,269000,1,1,613,
PAST SALE,March-22-2022,Condo/Co-op,14 W Fourteenth St #403,Cincinnati,OH,45202,235000,1,1,578,2631
PAST SALE,May-28-2021,Single Family Residential,1716 Republic St,Cincinnati,OH,45202,58333,2,1,637,20865240
PAST SALE,May-28-2021,Single Family Residential,1718 Republic St,Cincinnati,OH,45202,58333,2,1.5,780,18992160
PAST SALE,,Condo/Co-op,213 Kemp Aly,Cincinnati,OH,45202,722000,,4,2324,
PAST SALE,May-28-2021,Single Family Residential,1720 Republic St,Cincinnati,OH,45052,58333,,1.5,832,20865240
PAST SALE,February-20-2024,Condo/Co-op,825 Main St #2,Cincinnati,OH,45202,420000,2,2,2196,2609
PAST SALE,,Condo/Co-op,1328 Republic St #301,Cincinnati,OH,45202,335000,,2,1436,
PAST SALE,May-17-2023,Condo/Co-op,18 E 4th St #701,Cincinnati,OH,45202,395000,2,2,1830,4680
PAST SALE,October-29-2021,Condo/Co-op,14 W Fourteenth St #502,Cincinnati,OH,45202,189900,1,1,513,2632
PAST SALE,April-5-2022,Condo/Co-op,11 E Court St #203,Cincinnati,OH,45202,266000,1,1,613,
PAST SALE,,Condo/Co-op,13 W 15th St,Cincinnati,OH,45202,317000,,1,912,
PAST SALE,January-20-2023,Condo/Co-op,33 E Court St #201,Cincinnati,OH,45202,160000,1,1,375,1263
PAST SALE,July-20-2020,Vacant Land,28 Findlay St,Cincinnati,OH,45202,159900,,,,3900
PAST SALE,August-31-2021,Condo/Co-op,1213 Vine St Unit I,Cincinnati,OH,45202,194000,1,1,748,14414
PAST SALE,June-4-2024,Condo/Co-op,13 W Fifteenth St Unit A5,Cincinnati,OH,45202,317000,2,1,912,
PAST SALE,July-12-2024,Single Family Residential,15 Mercer St,Cincinnati,OH,45202,461500,2,2,1120,784
PAST SALE,May-8-2023,Condo/Co-op,1415 Vine St #101,Cincinnati,OH,45202,254000,1,1,798,18070
PAST SALE,May-29-2024,Condo/Co-op,1331 Vine St #8,Cincinnati,OH,45202,445000,2,2,1260,5449
PAST SALE,February-27-2023,Condo/Co-op,1515 Race St #303,Cincinnati,OH,45202,394000,2,1,968,17013
PAST SALE,March-21-2020,Condo/Co-op,911 Race St #3,Cincinnati,OH,45202,730000,2,2,2663,2932
PAST SALE,December-10-2021,Condo/Co-op,1211 Republic St Unit 301C,Cincinnati,OH,45202,247000,2,1,978,8925
PAST SALE,September-8-2021,Condo/Co-op,116 W Fifteenth St #201,Cincinnati,OH,45202,255000,1,1,777,166399
PAST SALE,April-15-2021,Condo/Co-op,5 W Twelfth St #1,Cincinnati,OH,45202,310000,1,2,1024,
PAST SALE,December-28-2021,Condo/Co-op,26 E Sixth St #402,Cincinnati,OH,45202,275000,1,1.5,980,8504
PAST SALE,January-31-2022,Condo/Co-op,1403 Race St #2,Cincinnati,OH,45202,372000,2,1.5,1281,4995
PAST SALE,April-12-2023,Condo/Co-op,33 E Court St #303,Cincinnati,OH,45202,275000,1,1,665,5091
PAST SALE,March-25-2024,Condo/Co-op,11 E Court St #202,Cincinnati,OH,45202,290000,1,1,648,4090
PAST SALE,December-15-2023,Condo/Co-op,33 E Court St #402,Cincinnati,OH,45202,355000,2,2,969,
PAST SALE,July-19-2021,Condo/Co-op,1407 Vine St #401,Cincinnati,OH,45202,184900,1,1,637,18070
PAST SALE,October-4-2019,Condo/Co-op,417 Vine St #202,Cincinnati,OH,45202,480000,3,2,1617,7478
PAST SALE,March-4-2022,Condo/Co-op,14 W Fourteenth St #401,Cincinnati,OH,45202,247475,1,1,685,2631
PAST SALE,August-28-2023,Condo/Co-op,112 E 13th St #5,Cincinnati,OH,45202,230000,1,1.5,1004,4177
PAST SALE,May-5-2022,Condo/Co-op,15 W Fourth St #504,Cincinnati,OH,45202,510000,3,2,1914,29630
PAST SALE,April-8-2022,Condo/Co-op,1418 Race St #4,Cincinnati,OH,45202,330000,2,1.5,1122,7989
PAST SALE,June-10-2021,Condo/Co-op,1237 Vine St #4,Cincinnati,OH,45202,211000,1,1,578,1999
PAST SALE,December-16-2021,Condo/Co-op,26 W Fifteenth St Unit 6F,Cincinnati,OH,45202,265000,1,1,648,
PAST SALE,December-22-2021,Condo/Co-op,30 E Central Pkwy #1201,Cincinnati,OH,45202,475000,2,2,1196,12343
PAST SALE,September-24-2021,Condo/Co-op,1232 Vine St #6,Cincinnati,OH,45202,298000,1,1,1141,4611
PAST SALE,June-23-2023,Condo/Co-op,30 East Central Pkwy #701,Cincinnati,OH,45202,420000,2,2,1218,12345
PAST SALE,March-12-2020,Multi-Family (2-4 Unit),12 Green St,Cincinnati,OH,45202,260000,,,,1960
PAST SALE,March-21-2024,Condo/Co-op,15 W Fourth St #211,Cincinnati,OH,45202,300000,2,2,1326,29634
PAST SALE,June-24-2024,Condo/Co-op,1150 Vine St #41,Cincinnati,OH,45202,268500,1,2,1010,14876
PAST SALE,August-12-2019,Condo/Co-op,116 W Fifteenth St #204,Cincinnati,OH,45202,270000,1,1,741,
PAST SALE,June-30-2023,Condo/Co-op,30 East Central Pkwy #502,Cincinnati,OH,45202,425000,2,2,,12345
PAST SALE,November-23-2020,Condo/Co-op,183 Palisades Pointe #3,Cincinnati,OH,45238,150000,2,2,1275,74214
PAST SALE,April-19-2021,Condo/Co-op,5 W Twelfth St #2,Cincinnati,OH,45202,270000,1,1,826,
PAST SALE,March-20-2024,Condo/Co-op,1338 Vine St Unit C,Cincinnati,OH,45202,289000,1,1,732,15686
PAST SALE,April-4-2023,Condo/Co-op,33 E Court St #404,Cincinnati,OH,45202,394000,2,2,920,5091
PAST SALE,August-21-2020,Condo/Co-op,1232 Vine St #9,Cincinnati,OH,45202,489900,2,2,1076,45123
PAST SALE,April-7-2020,Condo/Co-op,26 E Sixth St #303,Cincinnati,OH,45202,299000,1,1.5,1015,8504
PAST SALE,October-26-2021,Condo/Co-op,915 Vine St #202,Cincinnati,OH,45202,215000,1,1,496,
PAST SALE,December-29-2021,Condo/Co-op,1150 Vine St #35,Cincinnati,OH,45202,265000,2,2,932,14877
PAST SALE,July-14-2023,Condo/Co-op,15 W 4th St #509,Cincinnati,OH,45202,575000,3,2,1958,29630
PAST SALE,May-7-2024,Condo/Co-op,1509 Race St #305,Cincinnati,OH,45202,390777,2,1,968,
PAST SALE,May-20-2024,Condo/Co-op,1201 Vine St Unit D,Cincinnati,OH,45202,250000,1,1,697,
PAST SALE,March-17-2021,Single Family Residential,1406 Pleasant St,Cincinnati,OH,45202,600000,3,3.5,1886,1612
PAST SALE,June-28-2023,Condo/Co-op,116 W 15th St #305,Cincinnati,OH,45202,318250,1,1,760,158558
PAST SALE,September-27-2021,Condo/Co-op,26 W Fifteenth St Unit 1F,Cincinnati,OH,45202,275000,1,1,,1873
PAST SALE,November-29-2022,Multi-Family (2-4 Unit),1717 Vine St,Cincinnati,OH,45202,119000,,,1600,1699
PAST SALE,August-24-2023,Condo/Co-op,1418 Race St,Cincinnati,OH,45202,334000,1,1.5,1332,7989
PAST SALE,April-9-2024,Townhouse,1223 Jackson St #1,Cincinnati,OH,45202,550500,2,2.5,1835,1472
PAST SALE,June-6-2023,Condo/Co-op,1403 Vine St #2,Cincinnati,OH,45202,367700,2,2,1081,2330
PAST SALE,November-16-2023,Condo/Co-op,15 W Fourth St #415,Cincinnati,OH,45202,1050000,3,2.5,3460,29630
PAST SALE,July-14-2023,Condo/Co-op,1501 Vine St #302,Cincinnati,OH,45202,229000,1,1,666,3437
PAST SALE,April-28-2021,Condo/Co-op,30 E Central Pkwy #1203,Cincinnati,OH,45202,457500,2,2,1248,12343
PAST SALE,April-6-2022,Condo/Co-op,1202 Main St #12,Cincinnati,OH,45202,199900,1,1,613,3899
PAST SALE,April-10-2024,Condo/Co-op,33 E Thirteenth St #401,Cincinnati,OH,45202,302000,1,1,841,
PAST SALE,June-26-2024,Condo/Co-op,1432 Race St #305,Cincinnati,OH,45202,300000,1,1,910,13595
PAST SALE,,Single Family Residential,1329 Republic St,Cincinnati,OH,45202,725000,,3,2180,1660
PAST SALE,November-10-2023,Condo/Co-op,26 E 6th St #603,Cincinnati,OH,45202,368000,2,2.5,1000,8507
PAST SALE,February-24-2022,Condo/Co-op,30 E Central Pkwy #702,Cincinnati,OH,45202,407467,2,2,1218,12345
PAST SALE,April-26-2021,Single Family Residential,219 W Fifteenth St,Cincinnati,OH,45202,1199000,3,3.5,3779,1891
PAST SALE,September-7-2021,Condo/Co-op,1505 Race St #301,Cincinnati,OH,45202,345000,2,1,1256,
PAST SALE,December-28-2021,Condo/Co-op,1508 Race St Unit 4R,Cincinnati,OH,45202,334000,1,1.5,780,
PAST SALE,December-6-2019,Condo/Co-op,18 W Thirteenth St #7,Cincinnati,OH,45202,215000,1,1.5,1106,4624
PAST SALE,April-9-2021,Condo/Co-op,1237 Vine St #3,Cincinnati,OH,45202,225000,1,1,,
PAST SALE,June-15-2023,Condo/Co-op,1202 Main St #1,Cincinnati,OH,45202,162500,1,1,583,3899
PAST SALE,May-28-2021,Condo/Co-op,1207 Republic St Unit 201B,Cincinnati,OH,45202,336000,2,2,1176,8925
PAST SALE,November-12-2020,Condo/Co-op,1407 Vine St #303,Cincinnati,OH,45202,173000,1,1,637,
PAST SALE,April-16-2020,Condo/Co-op,1908 Dunlap St Unit 1W,Cincinnati,OH,45214,273000,1,1,1368,12499
PAST SALE,July-8-2022,Condo/Co-op,15 W Fourth St #205,Cincinnati,OH,45202,292000,1,2,1088,29630
PAST SALE,April-18-2022,Condo/Co-op,1509 Pleasant St #155,Cincinnati,OH,45202,289000,2,1,901,6360
PAST SALE,June-7-2023,Condo/Co-op,33 E Court St #204,Cincinnati,OH,45202,388000,2,2,,5091
PAST SALE,March-4-2022,Condo/Co-op,1326 Vine St #7,Cincinnati,OH,45202,295000,1,1,1074,15686
PAST SALE,April-22-2022,Condo/Co-op,1222 Republic St #3,Cincinnati,OH,45202,420000,2,2,1396,2396
PAST SALE,June-24-2022,Condo/Co-op,131 W Fifteenth St Unit 4B,Cincinnati,OH,45202,300000,1,1.5,908,3104
PAST SALE,May-12-2022,Condo/Co-op,11 E Court St #304,Cincinnati,OH,45202,353000,2,2,920,
PAST SALE,April-30-2021,Single Family Residential,1409 Republic St,Cincinnati,OH,45202,650000,3,2.5,2122,3049
PAST SALE,November-7-2023,Multi-Family (2-4 Unit),632 Race St,Cincinnati,OH,45202,895000,,,8640,1800
PAST SALE,July-29-2020,Condo/Co-op,15 W Fourth St #210,Cincinnati,OH,45202,351900,2,2,1424,29631
PAST SALE,December-22-2021,Single Family Residential,1508 Race St Unit 3R,Cincinnati,OH,45202,279000,1,1,670,
PAST SALE,July-15-2024,Condo/Co-op,15 W Fourth St #304,Cincinnati,OH,45202,415000,1,2,1285,29630
PAST SALE,May-27-2022,Condo/Co-op,11 E Court St #302,Cincinnati,OH,45202,268000,1,1,,
PAST SALE,October-27-2023,Condo/Co-op,1214 Vine St #9,Cincinnati,OH,45202,285000,1,1,1398,
