SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE
PAST SALE,March-18-2022,Condo/Co-op,215 Wade St #6,Cincinnati,OH,45202,340100,1,1.5,,
PAST SALE,August-5-2024,Townhouse,13 Mercer St,Cincinnati,OH,45202,475000,2,1.5,1120,6970
PAST SALE,May-31-2022,Condo/Co-op,110 E Thirteenth St,Cincinnati,OH,45202,250000,1,1.5,1170,4177
PAST SALE,June-28-2022,Condo/Co-op,1207 Vine St Unit E,Cincinnati,OH,45202,240000,1,1,963,14414
PAST SALE,August-6-2021,Condo/Co-op,1415 Vine St #201,Cincinnati,OH,45202,180000,1,1,567,18070
PAST SALE,March-13-2020,Townhouse,1307 Republic St,Cincinnati,OH,45202,275000,2,1.5,1167,
PAST SALE,March-1-2022,Condo/Co-op,15 W Fourth St #213,Cincinnati,OH,45202,310000,2,2,,
PAST SALE,May-21-2021,Condo/Co-op,1150 Vine St #25,Cincinnati,OH,45202,275000,2,2,1010,14877
PAST SALE,November-3-2021,Condo/Co-op,915 Vine St #303,Cincinnati,OH,45202,245000,1,1,491,
PAST SALE,July-23-2024,Condo/Co-op,1523 Republic St #301,Cincinnati,OH,45202,342500,2,1,886,2522
PAST SALE,June-28-2022,Condo/Co-op,1326 Vine St Unit A,Cincinnati,OH,45202,265000,2,1,958,15686
PAST SALE,September-20-2022,Multi-Family (2-4 Unit),1213 Elm St,Cincinnati,OH,45202,930000,,,4086,1786
PAST SALE,March-18-2024,Condo/Co-op,633 Main St #3,Cincinnati,OH,45202,274000,2,1,1321,
PAST SALE,June-22-2022,Condo/Co-op,1415 Vine St #303,Cincinnati,OH,45202,235000,1,1,762,18069
PAST SALE,June-10-2024,Condo/Co-op,15 W Fourth St #410,Cincinnati,OH,45202,395000,2,2,1424,
PAST SALE,September-28-2023,Single Family Residential,1325 Republic St,Cincinnati,OH,45202,730000,3,3,2436,1655
PAST SALE,July-31-2024,Single Family Residential,1118 Race St,Cincinnati,OH,45202,789000,3,3,2484,
PAST SALE,April-27-2022,Condo/Co-op,1422 Race St #7,Cincinnati,OH,45202,312000,2,1,1050,7989
PAST SALE,October-8-2021,Condo/Co-op,26 W Fifteenth St Unit 5F,Cincinnati,OH,45202,270000,1,1,674,
PAST SALE,April-30-2021,Condo/Co-op,5 W Twelfth St #8,Cincinnati,OH,45202,310000,1,2,942,
PAST SALE,September-28-2022,Condo/Co-op,1222 Republic St #8,Cincinnati,OH,45202,305000,1,1,1333,4368
PAST SALE,April-19-2024,Single Family Residential,1302 Main St,Cincinnati,OH,45202,842500,3,2.5,3000,1960
PAST SALE,September-3-2020,Condo/Co-op,724 Main St #4,Cincinnati,OH,45202,179450,2,1,1008,
PAST SALE,September-18-2020,Condo/Co-op,1422 Race St #6,Cincinnati,OH,45202,233000,1,1,945,7989
PAST SALE,June-17-2022,Condo/Co-op,15 E Court St #2,Cincinnati,OH,45202,245000,1,1,1023,1361
PAST SALE,February-26-2021,Condo/Co-op,1232 Vine St #7,Cincinnati,OH,45202,238900,1,1,875,4611
PAST SALE,,Condo/Co-op,915 Vine St #301,Cincinnati,OH,45202,268000,,1.5,832,
PAST SALE,May-18-2022,Condo/Co-op,1331 Vine St #3,Cincinnati,OH,45202,379000,2,2,1255,5449
PAST SALE,June-17-2024,Condo/Co-op,1432 Race St #311,Cincinnati,OH,45202,255000,1,1,748,13595
PAST SALE,May-1-2021,Condo/Co-op,5 W Twelfth St #6,Cincinnati,OH,45202,385000,2,1.5,1484,
PAST SALE,September-18-2023,Condo/Co-op,118 W 15th St,Cincinnati,OH,45202,302000,1,1,1023,
PAST SALE,December-2-2021,Single Family Residential,1705 Pleasant St,Cincinnati,OH,45202,550000,3,2.5,1747,1699
PAST SALE,July-31-2020,Condo/Co-op,21 Mercer St #2,Cincinnati,OH,45202,260000,1,1,786,5975
PAST SALE,June-7-2024,Condo/Co-op,1150 Vine St #12,Cincinnati,OH,45202,295000,2,1,,
PAST SALE,January-20-2023,Condo/Co-op,33 E Court St #202,Cincinnati,OH,45202,209000,1,1,510,1263
PAST SALE,August-4-2023,Condo/Co-op,14 W 14th St #101,Cincinnati,OH,45202,255000,1,1,631,2631
PAST SALE,December-27-2021,Condo/Co-op,1508 Race St Unit 2R,Cincinnati,OH,45202,319000,1,1.5,771,
PAST SALE,March-14-2022,Condo/Co-op,26 E Sixth St #404,Cincinnati,OH,45202,350000,2,2,1280,37968
PAST SALE,January-21-2022,Condo/Co-op,26 E Sixth St #505,Cincinnati,OH,45202,315000,1,1.5,1233,8504
PAST SALE,March-24-2021,Condo/Co-op,1207 Republic St Unit 102B,Cincinnati,OH,45202,221000,2,1,982,8925
PAST SALE,April-4-2022,Condo/Co-op,1307 Republic St #4,Cincinnati,OH,45202,335000,2,1.5,986,4624
PAST SALE,November-21-2022,Condo/Co-op,26 E 6th St #202,Cincinnati,OH,45202,535000,2,2.5,1923,8503
PAST SALE,May-28-2024,Condo/Co-op,15 W Fourth St #403,Cincinnati,OH,45202,399000,2,2,1528,
PAST SALE,August-18-2023,Condo/Co-op,19 W Court St,Cincinnati,OH,45202,312750,1,1.5,1654,3184
PAST SALE,,Single Family Residential,1614 Elm St,Cincinnati,OH,45202,130000,3,2,2280,1960
PAST SALE,March-24-2023,Condo/Co-op,1328 Republic St #302,Cincinnati,OH,45202,429000,3,2,1412,2879
PAST SALE,March-16-2022,Condo/Co-op,1237 Vine St #5,Cincinnati,OH,45202,235000,1,1,811,1999
PAST SALE,May-24-2021,Condo/Co-op,1432 Race St #302,Cincinnati,OH,45202,152000,1,1,473,13597
PAST SALE,May-5-2022,Condo/Co-op,11 E Court St #301,Cincinnati,OH,45202,267000,1,1,,
PAST SALE,July-30-2020,Condo/Co-op,104 W Ninth St Unit 4B,Cincinnati,OH,45202,279000,2,1.5,1197,4522
PAST SALE,September-29-2022,Condo/Co-op,1222 Republic St #6,Cincinnati,OH,45202,425000,2,2,1476,4369
PAST SALE,May-13-2021,Condo/Co-op,1201 Vine St Unit F,Cincinnati,OH,45202,190000,1,1,697,14414
PAST SALE,August-1-2024,Condo/Co-op,26 E Sixth St #501,Cincinnati,OH,45202,600000,2,2.5,1996,8503
PAST SALE,June-29-2021,Single Family Residential,1822 Logan St,Cincinnati,OH,45202,711000,4,2.5,2844,2222
PAST SALE,June-23-2023,Condo/Co-op,1509 Race St #206,Cincinnati,OH,45202,450000,2,2,1122,17015
PAST SALE,October-11-2019,Condo/Co-op,36 E Court St #206,Cincinnati,OH,45202,220000,1,1,,
PAST SALE,August-9-2019,Multi-Family (2-4 Unit),1909 Race St,Cincinnati,OH,45202,275000,,,,1437
PAST SALE,February-23-2022,Condo/Co-op,1408 Elm St #3,Cincinnati,OH,45202,290000,2,1,926,2509
PAST SALE,November-8-2023,Condo/Co-op,633 Main St #4,Cincinnati,OH,45202,270000,2,1,1444,
PAST SALE,,Condo/Co-op,1232 Vine St #3,Cincinnati,OH,45202,255000,2,1,1131,
PAST SALE,February-21-2023,Condo/Co-op,1326 Vine St Unit B,Cincinnati,OH,45202,270000,2,1,1095,15686
PAST SALE,October-23-2020,Condo/Co-op,1214 Vine St #12,Cincinnati,OH,45202,490000,2,2,1782,9919
PAST SALE,October-31-2019,Condo/Co-op,116 W Fifteenth St #205,Cincinnati,OH,45202,283000,1,1,753,
PAST SALE,October-29-2021,Condo/Co-op,1207 Vine St Unit D,Cincinnati,OH,45202,122000,1,1,526,14414
PAST SALE,December-12-2020,Condo/Co-op,637 Walnut St #2,Cincinnati,OH,45202,430000,2,2,1693,9099
PAST SALE,June-14-2024,Single Family Residential,219 Magnolia St,Cincinnati,OH,45202,469500,2,1,1125,1350
PAST SALE,April-8-2020,Condo/Co-op,1150 Vine St #23,Cincinnati,OH,45202,215000,1,1,770,14877
PAST SALE,May-31-2024,Single Family Residential,1501 Elm St,Cincinnati,OH,45202,985000,3,2.5,2640,2439
PAST SALE,March-19-2021,Condo/Co-op,1408 Elm St #2,Cincinnati,OH,45202,264000,2,1.5,1066,2507
PAST SALE,March-11-2022,Condo/Co-op,1415 Vine St #401,Cincinnati,OH,45202,185000,1,1,486,18069
PAST SALE,September-1-2022,Condo/Co-op,1214 Vine St #1,Cincinnati,OH,45202,437000,2,2,1284,9919
PAST SALE,October-21-2022,Condo/Co-op,1432 Race St #209,Cincinnati,OH,45202,145000,1,1,462,592372440
PAST SALE,December-22-2021,Condo/Co-op,1202 Main St #14,Cincinnati,OH,45202,224900,1,2,810,3899
PAST SALE,,Condo/Co-op,30 East Central Pkwy #302,Cincinnati,OH,45202,395000,2,2,1509,
PAST SALE,October-30-2020,Single Family Residential,1406 Elm St,Cincinnati,OH,45202,390886,4,2,2448,2439
PAST SALE,May-23-2022,Single Family Residential,1510 Pleasant St,Cincinnati,OH,45202,895000,3,3,2500,4356
PAST SALE,October-23-2020,Condo/Co-op,20 W Twelfth St #22,Cincinnati,OH,45202,185000,1,1,623,8925
PAST SALE,September-23-2021,Condo/Co-op,1516 Pleasant St,Cincinnati,OH,45202,956753,3,3,2500,4356
PAST SALE,July-13-2021,Condo/Co-op,1237 Vine St #2,Cincinnati,OH,45202,215000,1,1,565,1999
PAST SALE,August-30-2022,Condo/Co-op,20 W Twelfth St #301,Cincinnati,OH,45202,287000,2,1,896,8925
PAST SALE,August-30-2022,Condo/Co-op,1150 Vine St #16,Cincinnati,OH,45202,280000,2,1,1050,14876
PAST SALE,May-3-2021,Condo/Co-op,215 Wade St #8,Cincinnati,OH,45202,334900,1,1.5,988,
PAST SALE,February-7-2022,Condo/Co-op,1214 Vine St #5,Cincinnati,OH,45202,225000,1,1,1003,9919
PAST SALE,April-12-2024,Townhouse,15 E Court St #4,Cincinnati,OH,45202,220500,1,1,1024,1359
PAST SALE,April-3-2024,Condo/Co-op,1501 Vine St #201,Cincinnati,OH,45202,274000,1,1,746,3437
PAST SALE,March-31-2021,Condo/Co-op,911 Race St #4,Cincinnati,OH,45202,750000,2,2,2663,2932
PAST SALE,January-6-2020,Condo/Co-op,50 E Court St #207,Cincinnati,OH,45202,385000,2,2,,
PAST SALE,April-30-2021,Condo/Co-op,1003 Walnut St #309,Cincinnati,OH,45202,327500,1,1.5,,
PAST SALE,April-24-2020,Condo/Co-op,13 W Fifteenth St Unit A2,Cincinnati,OH,45202,197000,2,1,,
PAST SALE,March-5-2021,Condo/Co-op,1432 Race St #207,Cincinnati,OH,45202,298000,2,1,1205,13597
PAST SALE,May-27-2022,Condo/Co-op,1512 Pleasant St,Cincinnati,OH,45202,910000,3,3,2500,4356
PAST SALE,May-31-2022,Condo/Co-op,15 W Fourth St Unit 414W,Cincinnati,OH,45202,360000,2,2,1425,29630
PAST SALE,June-26-2020,Condo/Co-op,15 W Fourth St #505,Cincinnati,OH,45202,715000,3,3,3100,29631
PAST SALE,June-8-2021,Condo/Co-op,33 E Thirteenth St #301,Cincinnati,OH,45202,282500,1,1,841,4499
PAST SALE,October-18-2019,Condo/Co-op,32 E Court St #203,Cincinnati,OH,45202,259000,1,1,,
PAST SALE,June-1-2022,Condo/Co-op,26 E Sixth St #604,Cincinnati,OH,45202,389250,2,1.5,1520,37967
PAST SALE,April-5-2022,Condo/Co-op,915 Vine St #201,Cincinnati,OH,45202,325000,1,1.5,795,
PAST SALE,May-14-2021,Townhouse,1124 Race St Unit 201B,Cincinnati,OH,45202,355000,2,1.5,1228,6599
PAST SALE,April-8-2022,Condo/Co-op,11 E Court St #201,Cincinnati,OH,45202,266000,1,1,,
PAST SALE,December-17-2021,Condo/Co-op,23 Mercer St #2,Cincinnati,OH,45202,235000,1,1,830,5975
PAST SALE,June-16-2022,Single Family Residential,1433 Pleasant St,Cincinnati,OH,45202,750207,3,3.5,2416,1655
PAST SALE,June-17-2021,Condo/Co-op,1150 Vine St #37,Cincinnati,OH,45202,335500,1,2,1254,14877
PAST SALE,May-29-2020,Condo/Co-op,1428 Republic St,Cincinnati,OH,45202,629000,3,2.5,2220,3256
PAST SALE,February-4-2022,Condo/Co-op,104 W Ninth St Unit 6C,Cincinnati,OH,45202,260000,2,1.5,1186,4522
PAST SALE,September-14-2020,Condo/Co-op,30 E Central Pkwy #903,Cincinnati,OH,45202,449000,2,2,1552,12343
PAST SALE,September-30-2022,Condo/Co-op,1515 Race St #301,Cincinnati,OH,45202,375000,2,1,,
PAST SALE,April-3-2024,Multi-Family (2-4 Unit),1412 Elm St,Cincinnati,OH,45202,850000,0,,4978,2439
PAST SALE,May-10-2021,Condo/Co-op,215 Wade St #7,Cincinnati,OH,45202,305000,1,1.5,772,
PAST SALE,February-16-2024,Condo/Co-op,108 W Ninth St Unit 1C,Cincinnati,OH,45202,280000,2,1,1200,
PAST SALE,March-19-2020,Condo/Co-op,1150 Vine St #28,Cincinnati,OH,45202,295000,2,2,1010,14877
PAST SALE,April-7-2022,Condo/Co-op,1214 Vine St #8,Cincinnati,OH,45202,339000,1,1,1420,9583
PAST SALE,September-29-2022,Condo/Co-op,18 W Thirteenth St #8,Cincinnati,OH,45202,260000,1,1.5,1052,4624
PAST SALE,September-21-2021,Condo/Co-op,1214 Vine St #10,Cincinnati,OH,45202,258500,1,1,1098,9919
PAST SALE,July-16-2021,Single Family Residential,218 W Fifteenth St,Cincinnati,OH,45202,1975000,4,4.5,4488,1899
PAST SALE,November-22-2019,Condo/Co-op,1122 Race St Unit 201A,Cincinnati,OH,45202,296750,2,1.5,1228,6599
PAST SALE,November-2-2021,Condo/Co-op,1003 Walnut St #310,Cincinnati,OH,45202,465000,2,2.5,,5445
PAST SALE,,Condo/Co-op,1206 Main St #4,Cincinnati,OH,45202,420000,2,2.5,2727,
PAST SALE,May-14-2021,Condo/Co-op,215 Wade St #3,Cincinnati,OH,45202,295000,1,1.5,733,
PAST SALE,March-22-2024,Townhouse,1407 Vine St #203,Cincinnati,OH,45202,189000,1,1,637,18060
PAST SALE,November-27-2019,Condo/Co-op,116 W Fifteenth St #203,Cincinnati,OH,45202,255000,1,1,721,
PAST SALE,May-13-2022,Condo/Co-op,1800 Race St #301,Cincinnati,OH,45202,725000,3,2,,10707
PAST SALE,May-28-2021,Single Family Residential,1509 Elm St,Cincinnati,OH,45202,782000,3,3.5,2928,2252
PAST SALE,April-22-2022,Single Family Residential,46 W Mcmicken Ave,Cincinnati,OH,45202,557400,4,3,2833,2309
PAST SALE,October-9-2020,Condo/Co-op,724 Main St #6,Cincinnati,OH,45202,170000,2,1,1002,
PAST SALE,June-25-2021,Condo/Co-op,27 Mercer St #3,Cincinnati,OH,45202,347000,2,2,,
PAST SALE,August-22-2022,Condo/Co-op,1211 Republic St Unit 101C,Cincinnati,OH,45202,249500,2,1,978,8925
PAST SALE,July-5-2022,Condo/Co-op,1908 Dunlap St #4,Cincinnati,OH,45214,825000,2,2.5,3181,
PAST SALE,,Condo/Co-op,1415 Vine St,Cincinnati,OH,45202,181000,,1,564,
PAST SALE,May-5-2021,Condo/Co-op,1213 Vine St Unit G,Cincinnati,OH,45202,186500,1,1,702,14414
PAST SALE,July-24-2024,Condo/Co-op,122 W Fifteenth St #223,Cincinnati,OH,45202,255000,1,1,700,6360
PAST SALE,July-13-2021,Condo/Co-op,19 W Court St #3,Cincinnati,OH,45202,410000,2,2,1704,3186
PAST SALE,September-21-2021,Condo/Co-op,15 W Fifteenth St Unit B3,Cincinnati,OH,45202,230000,2,1.5,,3049
PAST SALE,January-27-2023,Condo/Co-op,133 W Elder St #2,Cincinnati,OH,45202,325000,2,1,1000,68302080
PAST SALE,April-29-2021,Condo/Co-op,14 W Fourteenth St #301,Cincinnati,OH,45202,249900,1,1,685,2632
PAST SALE,March-31-2021,Condo/Co-op,1150 Vine St #27,Cincinnati,OH,45202,213000,1,1,757,14877
PAST SALE,May-9-2022,Condo/Co-op,15 W Fourth St #203,Cincinnati,OH,45202,360000,2,2,1528,29631
PAST SALE,July-20-2021,Condo/Co-op,1232 Vine St #1,Cincinnati,OH,45202,257500,1,1,831,4611
PAST SALE,April-15-2021,Condo/Co-op,1432 Race St #103,Cincinnati,OH,45202,228000,2,1,967,13597
PAST SALE,December-5-2019,Condo/Co-op,1003 Walnut St #209,Cincinnati,OH,45202,395000,2,2,,
PAST SALE,June-18-2021,Condo/Co-op,1415 Vine St #404,Cincinnati,OH,45202,226000,1,2,1109,18070
PAST SALE,April-4-2022,Condo/Co-op,1908 Dunlap St #5,Cincinnati,OH,45214,720000,2,2,3019,12497
PAST SALE,April-18-2022,Condo/Co-op,915 Vine St #302,Cincinnati,OH,45202,225000,1,1,522,
PAST SALE,,Condo/Co-op,30 East Central Pkwy #401,Cincinnati,OH,45202,402500,2,2,1436,
PAST SALE,May-14-2021,Condo/Co-op,1501 Vine St #304,Cincinnati,OH,45202,230000,1,1,703,3436
PAST SALE,July-1-2020,Condo/Co-op,621 Main St Unit 4B,Cincinnati,OH,45202,440000,2,2,1631,4117
PAST SALE,June-15-2021,Condo/Co-op,15 W Fourth St #604,Cincinnati,OH,45202,490000,2,2,1963,29631
PAST SALE,October-14-2021,Condo/Co-op,1509 Race St #307,Cincinnati,OH,45202,388900,2,1,968,17013
PAST SALE,February-18-2021,Condo/Co-op,1501 Vine St #403,Cincinnati,OH,45202,176000,1,1,645,
PAST SALE,November-30-2021,Single Family Residential,227 Magnolia St,Cincinnati,OH,45202,550000,3,2,1764,2962
PAST SALE,September-23-2021,Condo/Co-op,637 Walnut St #7,Cincinnati,OH,45202,574900,2,2.5,1762,9099
PAST SALE,June-1-2021,Condo/Co-op,1415 Vine St #307,Cincinnati,OH,45202,215000,1,1,976,18070
PAST SALE,November-13-2020,Condo/Co-op,1222 Republic St #4,Cincinnati,OH,45202,235000,1,1,1083,4368
PAST SALE,May-29-2020,Condo/Co-op,1222 Republic St #7,Cincinnati,OH,45202,269000,1,1,1043,4368
PAST SALE,May-27-2022,Condo/Co-op,11 E Court St #401,Cincinnati,OH,45202,375000,1,1.5,1097,
PAST SALE,October-8-2021,Condo/Co-op,17 Mercer St,Cincinnati,OH,45202,715000,3,3.5,2124,5975
PAST SALE,October-28-2023,Multi-Family (2-4 Unit),1207 Elm St,Cincinnati,OH,45202,1810000,6,5.5,,2744
PAST SALE,January-27-2022,Condo/Co-op,1508 Race St Unit 5R,Cincinnati,OH,45202,285000,1,1,654,
PAST SALE,,Condo/Co-op,1418 Race St #3,Cincinnati,OH,45202,334000,1,1.5,1332,
PAST SALE,May-24-2021,Single Family Residential,9 Mercer St,Cincinnati,OH,45202,396900,2,1.5,1120,32277960
PAST SALE,August-10-2021,Condo/Co-op,621 Main St Unit 3A,Cincinnati,OH,45202,455000,2,2,1606,4117
PAST SALE,July-25-2023,Condo/Co-op,50 E Court St #408,Cincinnati,OH,45202,303800,1,1,766,8969
PAST SALE,October-5-2021,Condo/Co-op,1223 Jackson St,Cincinnati,OH,45202,478000,2,2.5,1835,1474
PAST SALE,December-12-2022,Single Family Residential,1615-16-1617 Pleasant St,Cincinnati,OH,45202,900000,3,3,,218192040
PAST SALE,June-28-2021,Condo/Co-op,1517 Elm St Unit A,Cincinnati,OH,45202,397500,2,1.5,1034,3079
PAST SALE,March-31-2021,Condo/Co-op,1824 Elm St #1,Cincinnati,OH,45202,345000,2,2,,1805
PAST SALE,September-28-2020,Condo/Co-op,15 W Fourth St #407,Cincinnati,OH,45202,315000,1,2,1565,29631
PAST SALE,December-14-2021,Condo/Co-op,1432 Elm St Unit 3A,Cincinnati,OH,45202,355000,2,1,954,3104
PAST SALE,April-22-2022,Condo/Co-op,1909 Race St #1,Cincinnati,OH,45202,385000,2,2,,1437
PAST SALE,April-8-2020,Condo/Co-op,30 E Central Pkwy #1003,Cincinnati,OH,45202,454000,2,2,1552,12343
PAST SALE,October-6-2022,Condo/Co-op,1207 Vine St Unit K,Cincinnati,OH,45202,239500,1,1,1134,14414
PAST SALE,,Condo/Co-op,1415 Vine St #305,Cincinnati,OH,45202,272500,,1,945,
PAST SALE,January-31-2020,Condo/Co-op,1908 Dunlap St #2,Cincinnati,OH,45214,532500,2,1.5,3079,12499
PAST SALE,December-23-2020,Condo/Co-op,1 Mercer St #303,Cincinnati,OH,45202,397000,2,2,1025,6844
PAST SALE,August-1-2024,Condo/Co-op,1202 Main St #3,Cincinnati,OH,45202,185000,1,1,640,3899
PAST SALE,August-2-2024,Single Family Residential,1410 Elm St,Cincinnati,OH,45202,1065750,3,3.5,3242,2439